SPY from 2006-Sep-20 to 2011-Sep-20,,,,,
Date,Open,High,Low,Close,Volume
20/05/2008,142.27,142.34,141,141.89,178538800
21/05/2008,141.81,142.12,139,139.49,252694900
22/05/2008,139.43,140.17,139,139.51,170800000
23/05/2008,139.05,139.66,137.52,137.64,181376400
27/05/2008,137.8,139,137.53,138.66,168307200
28/05/2008,139.17,140,138,139.3,181263000
29/05/2008,139.13,140.93,139.08,140,173827900
30/05/2008,140.47,140.74,139.94,140.35,117323400
02/06/2008,139.83,139.86,138,138.9,181025700
03/06/2008,139.3,139.62,137.23,138.09,271965700
04/06/2008,137.7,139.16,137.46,138.02,246637700
05/06/2008,138.58,140.89,138.32,140.78,236152000
06/06/2008,139.55,139.8,136.22,136.29,384077400
09/06/2008,136.86,137.5,135.41,136.62,228228500
10/06/2008,135.67,137.1,135.35,135.94,260138500
11/06/2008,135.97,136.26,133.93,133.94,283890100
12/06/2008,134.6,135.87,133.52,134.45,252636300
13/06/2008,135.17,136.52,134.42,136.15,244683600
16/06/2008,135.55,136.93,135.46,136.23,185786100
17/06/2008,137.07,137.12,135.37,135.57,191707700
18/06/2008,134.69,135.52,133.71,134.25,265893000
19/06/2008,134.15,135.24,132,134.42,304204900
20/06/2008,132.84,133.09,131.22,131.58,289205000
23/06/2008,132.09,132.23,131.32,131.45,165096400
24/06/2008,131.05,132.44,130.19,131.19,267276400
25/06/2008,131.72,133.4,131.24,131.81,287770200
26/06/2008,130.57,131.42,128.08,128.23,297653800
27/06/2008,128.28,128.86,127.04,127.53,303388600
30/06/2008,127.89,128.91,127.3,127.98,258842600
01/07/2008,126.52,128.47,125.93,128.38,388567300
02/07/2008,128.79,129.16,125.95,126.18,288064600
07/07/2008,126.79,127.34,123.92,125.02,372386700
08/07/2008,124.99,127.39,124.2,127.24,375973700
09/07/2008,127.5,127.74,124.39,124.79,336729400
10/07/2008,124.43,125.79,123.58,125.3,436434900
11/07/2008,123.97,125.9,122.49,123.84,481035000
14/07/2008,125.26,125.5,122.4,122.72,322617000
15/07/2008,121.8,123.49,120.02,120.99,502429000
16/07/2008,121.45,124.57,121.1,123.96,371580600
17/07/2008,125.14,126.26,124.09,125.2,375465000
18/07/2008,126.17,126.42,125.15,125.98,266992400
21/07/2008,126.51,126.8,125.19,126.05,222737100
22/07/2008,125.15,127.8,124.85,127.48,296889900
23/07/2008,127.89,129.15,127.55,128.17,311649200
24/07/2008,128.34,128.41,125.16,125.51,248587800
25/07/2008,125.89,126.49,125.17,125.48,219106100
28/07/2008,125.51,126.06,123.42,123.64,205140500
29/07/2008,123.98,126.38,123.64,126.28,261433800
30/07/2008,127.11,128.6,126.28,128.53,354652100
31/07/2008,127.4,128.57,126.63,126.83,277378300
01/08/2008,127.12,127.28,125.46,126.16,248690900
04/08/2008,126.04,126.14,124.76,124.99,188239600
05/08/2008,126.02,128.56,124.97,128.36,251577600
06/08/2008,128.02,129.3,127.48,128.93,209495200
07/08/2008,127.96,128.44,126.54,127.01,246247100
08/08/2008,126.58,129.93,126.38,129.37,260739900
11/08/2008,129.47,131.51,129.23,130.71,249405500
12/08/2008,130.28,130.7,128.73,129.35,213161400
13/08/2008,128.79,129.65,127.67,128.57,256393200
14/08/2008,127.84,130.28,127.75,129.54,239483500
15/08/2008,129.93,130.5,129.3,130.17,181000800
18/08/2008,130.43,130.48,127.66,128.39,171866800
19/08/2008,127.42,127.69,126.53,126.99,194654300
21/08/2008,126.75,128.44,126.6,127.8,180523500
22/08/2008,128.67,129.65,127.8,129.65,167652100
25/08/2008,128.8,129.65,126.75,127.02,171926000
26/08/2008,127.02,127.87,126.58,127.39,158940100
27/08/2008,127.55,128.83,127.3,128.63,170913800
28/08/2008,129.28,130.34,129.11,130.19,167409100
29/08/2008,129.73,130.14,128.51,128.79,189195800
02/09/2008,130.03,130.71,127.52,127.99,252364900
03/09/2008,127.88,128.5,126.93,127.88,251896400
04/09/2008,126.97,127.23,123.96,124.03,340042500
05/09/2008,123.29,124.95,122,124.42,288291100
08/09/2008,128.04,128.24,124.42,126.99,364055300
09/09/2008,127.1,127.36,122.8,123.22,376991200
10/09/2008,123.89,124.9,122.55,123.72,298876200
11/09/2008,122.12,125.74,121.6,125.51,375096300
12/09/2008,124.29,126.21,123.83,126.09,297708100
15/09/2008,121.63,125.65,119.89,120.09,483075100
16/09/2008,117.2,122.32,117,122.1,567223700
17/09/2008,119.64,121.85,116,116.61,621601600
18/09/2008,118.05,121.79,113.8,120.07,758116300
19/09/2008,126.7,128,123.33,124.12,501087800
22/09/2008,124.45,124.75,120.36,121.31,249936300
23/09/2008,120.85,122.02,118.28,118.55,327470400
24/09/2008,119.35,120,117.79,118.93,311818400
25/09/2008,119.4,121.91,118.44,120.79,327856600
26/09/2008,118.83,121.5,118.51,120.85,285810900
29/09/2008,119.14,119.34,110.97,111.38,6752500
30/09/2008,113.51,116.8,110.53,115.99,328154400
02/10/2008,114.95,115.11,111.06,111.85,365337800
03/10/2008,112.86,115.45,109.68,110.34,461798000
06/10/2008,107.15,107.62,100.64,104.72,610637500
07/10/2008,106.84,107.33,99.65,100.03,540012100
08/10/2008,97.52,102.18,96.81,97.51,725414800
09/10/2008,99.66,100.62,90.25,90.7,534485200
